gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
ACSF3,0.6604127491340913,-0.012854453263823756,4.0,,,,,,
ACSL1,0.20535888913731093,-0.01146085786435616,4.0,,,,,,
ACSL3,0.3623022883875641,-0.03259165710594324,4.0,,,,,,
ACSL4,0.9723451873709491,-0.0004945836690441977,4.0,,,,,,
ACSL5,0.29802275723077765,-0.028088829832987945,4.0,,,,,,
ACSL6,0.8699897444447977,0.0019315096533224852,4.0,,,,,,
ACSM1,0.23579450942109453,-0.0269324480394323,4.0,,,,,,
ACSM2A,0.6397970416853429,-0.007723843448601223,4.0,,,,,,
ACSM2B,0.9803124392236662,-0.006637113058256875,4.0,,,,,,
ACSM3,0.4638131792543676,-0.018376700920525995,4.0,,,,,,
ACSM4,0.6912974012880094,-0.010494790710382569,4.0,,,,,,
ACSM5,0.967739052599882,0.008190398622226378,4.0,,,,,,
ACSM6,0.43224161864069144,0.013447559120008331,4.0,,,,,,
ACSS1,0.704794076199676,-0.004448321659438639,4.0,,,,,,
ACSS2,0.9694934444043725,0.007390801794995706,4.0,,,,,,
ACSS3,0.762953351641776,-0.008947495854423377,4.0,,,,,,
ACTA1,0.3597990497499356,-0.03374450622710629,3.0,,,,,,
ACTA2,0.610334805337048,0.011194981812419768,4.0,,,,,,
ACTB,0.3903264113981401,0.05287450981432356,2.0,,,,,,
ACTBL2,0.3174218377686599,0.006150163780723277,3.0,,,,,,
ACTC1,0.2366496167190331,-0.0149291414100848,4.0,,,,,,
ACTG1,0.9157538981848035,0.0011252459719142164,3.0,,,,,,
ACTG2,0.505315172609421,-0.011104903379596298,4.0,,,,,,
ACTL10,0.9012433441553827,0.005011829531544655,4.0,,,,,,
ACTL6A,0.8886880813449651,-0.00989240000000004,1.0,,,,,,
ACTL6B,0.22529882705034876,-0.011021239573084662,4.0,,,,,,
ACTL7A,0.09266189808215518,-0.04384135760399821,3.0,,,,,,
ACTL7B,0.9116542281978476,-0.0011264939559393512,4.0,,,,,,
ACTL8,0.2523080938726717,0.007773804589317592,4.0,,,,,,
ACTL9,0.14525746859001276,0.01713373470420685,4.0,,,,,,
ACTN1,0.8163612729779929,-0.005856177849416194,3.0,,,,,,
ACTN2,0.41703500534947535,-0.034625741293563043,4.0,,,,,,
ACTN3,0.9916660278760812,-0.0022165605669036735,3.0,,,,,,
ACTN4,0.20140194398906314,-0.03740334409282709,3.0,,,,,,
ACTR10,0.847409250046066,-0.01037454285714293,1.0,,,,,,
ACTR1B,0.7623552643225496,-0.008726890740740758,4.0,,,,,,
ACTR2,0.24295582329317275,-0.08485073333333334,1.0,0.769217028651592,-0.002376558218546574,5.0,0.18847061774655427,0.021798741076682934,3.0
ACTR3,0.695444931989358,0.004910903405949001,3.0,,,,,,
ACTR3B,0.27876201819184776,-0.0021392347482435906,4.0,,,,,,
ACTR3C,0.83273576754572,8.388356125541962e-05,4.0,,,,,,
ACTR5,0.47771663395140507,0.005400563758748408,3.0,,,,,,
ACTR6,0.0684449618265574,-0.12718406666666676,1.0,0.022745170533489886,-0.02751719046116844,5.0,1.0000000113121749e-05,-0.06333345156794842,5.0
ACTR8,0.721540933899333,-0.01918927500000004,1.0,,,,,,
ACTRT1,0.7100638541526366,0.004000630564982548,4.0,,,,,,
ACTRT2,0.4018904757666082,0.03118646602539779,4.0,,,,,,
ACTRT3,0.5233662631414642,-0.01791066987229408,4.0,,,,,,
ACVR1,0.7263830795878526,0.0056814980969704994,4.0,,,,,,
ACVR1B,0.679668163919105,-0.02031703860782167,4.0,,,,,,
ACVR1C,0.6997037488672956,-0.006710376394802001,4.0,,,,,,
ACVR2A,0.4520483806952075,-0.020785966362715354,4.0,,,,,,
ACVR2B,0.6596903716002138,-0.027599819553187188,4.0,,,,,,
ACVRL1,0.5827075503881797,0.012288356170711466,4.0,,,,,,
ACY1,0.8977046483558059,0.0046338371695767286,4.0,,,,,,
ACY3,0.8153301936277573,0.009009223888325953,3.0,,,,,,
ACYP1,0.2952052345646653,-0.007742644532773709,4.0,,,,,,
ACYP2,0.7998820112388862,-0.007297128545686047,4.0,,,,,,
ADA,0.6927111434706184,0.014530798592858008,3.0,,,,,,
ADA2,0.7855074182598035,-0.009450957866224722,3.0,,,,,,
ADAD1,0.643227088238053,-0.009949913393693203,4.0,,,,,,
ADAD2,0.05379286878687676,-0.005484624176043139,4.0,,,,,,
ADAL,0.26264969613129374,0.000384828067418209,3.0,,,,,,
ADAM10,0.9167772481550177,0.00270306167175157,4.0,,,,,,
ADAM11,0.6614625293066099,-0.0071120318469057005,3.0,,,,,,
ADAM12,0.6278071797259753,-0.0027262629336998307,3.0,,,,,,
ADAM15,0.31101926354874065,0.020276803572589673,4.0,,,,,,
ADAM17,0.8045235349838861,-0.0046229338560194585,4.0,,,,,,
ADAM18,0.5760758177010191,0.0027294134891395986,4.0,,,,,,
ADAM19,0.7134023365809644,0.01503268961418606,4.0,,,,,,
ADAM2,0.24286388219318328,0.01101830982700194,4.0,,,,,,
ADAM20,0.8421463215773493,-0.004201239266043557,4.0,,,,,,
ADAM21,0.9111322484494057,0.0018644791999639341,3.0,,,,,,
ADAM22,0.8810878283181202,0.0020839276842893086,4.0,,,,,,
ADAM23,0.7208564492567182,0.0005588033485955748,4.0,,,,,,
ADAM28,0.25859621119904524,0.002954946926375386,4.0,,,,,,
ADAM29,0.21256131198500144,-0.0329022497946786,4.0,,,,,,
ADAM30,0.5478400861163745,0.018377020020972745,4.0,,,,,,
ADAM32,0.46339906407515224,-0.02501797861713628,4.0,,,,,,
ADAM33,0.5822017029804842,-0.003213870695187034,4.0,,,,,,
ADAM7,0.2652546898615436,0.01975887599612928,4.0,,,,,,
ADAM8,0.7307029493450358,0.00329124034229174,4.0,,,,,,
ADAM9,0.5035908363098905,-0.0040605603482582655,4.0,,,,,,
ADAMDEC1,0.4596492898535561,0.025882292678767026,4.0,,,,,,
ADAMTS1,0.35265462818372145,-0.030722573790691016,4.0,,,,,,
ADAMTS10,0.0667474570206446,-0.03478226064645301,4.0,,,,,,
ADAMTS12,0.19991350376968764,-0.02024899480094958,4.0,,,,,,
ADAMTS13,0.47567182152359555,-0.0209814942634364,4.0,,,,,,
ADAMTS14,0.5754722885139313,-0.014292678295253564,4.0,,,,,,
ADAMTS15,0.21850059031877223,-0.003417810791920629,4.0,,,,,,
ADAMTS16,0.7043321807867192,0.006570251039785687,4.0,,,,,,
ADAMTS17,0.6447348586346936,-0.004933884844668831,4.0,,,,,,
ADAMTS18,0.38607490500148256,0.01580798215764302,3.0,,,,,,
ADAMTS19,0.7924012483307113,0.003879331930526041,3.0,,,,,,
ADAMTS2,0.3843288167206324,-0.004173371764859844,4.0,,,,,,
ADAMTS20,0.60277718589846,-0.01781290757854297,4.0,,,,,,
ADAMTS3,0.22138737247302873,-0.04827218927203069,3.0,,,,,,
ADAMTS4,0.573304354195119,0.00420270501355006,4.0,,,,,,
