,gene_symbol,Plasmid,2dDox,7dDox,InSitu
149,ACIN1,5.972118592552082e-05,5.2683415489147404e-05,4.418686688310954e-05,5.044543317493468e-05
150,ACKR1,4.52356216797562e-05,5.092673060538103e-05,5.508220790194235e-05,7.11893496207022e-05
151,ACKR2,6.315197745741243e-05,7.088338554258225e-05,6.977913485573922e-05,7.599816661494832e-05
152,ACKR3,4.053416661753435e-05,4.51811691102162e-05,6.696306035779828e-05,5.5159959639881846e-05
153,ACKR4,5.6417460746662223e-05,5.8813220174208056e-05,6.753634589742333e-05,7.062360644490854e-05
154,ACLY,5.8196389689124546e-05,3.9433605590998863e-05,1.1752300340754964e-05,1.0089086634986934e-05
155,ACMSD,3.430791531891621e-05,3.65715104012371e-05,4.755121337295407e-05,4.72395551787706e-05
156,ACO1,5.311373556780362e-05,4.527842654048519e-05,8.202928466060512e-05,8.099556466779231e-05
157,ACO2,3.2656052729486915e-05,3.481435898697272e-05,2.7792890910107048e-05,2.621276714510624e-05
158,ACOD1,2.6302735077835766e-05,1.4732541998229532e-05,3.1170612714025704e-05,3.667901589728895e-05
159,ACOT1,4.764988238738363e-05,5.1658169731580007e-05,8.120089439484021e-05,9.325333347665494e-05
160,ACOT11,4.955587768287898e-05,6.923338362153502e-05,4.15790584493083e-05,4.337364347751393e-05
161,ACOT12,6.277077839831337e-05,4.3371275989063595e-05,6.669940070842908e-05,6.581478945066242e-05
162,ACOT13,3.392671625981715e-05,5.7040948107577876e-05,2.968017390737725e-05,3.30959757839291e-05
163,ACOT2,3.278311908251994e-05,2.7592381913614902e-05,5.1255501414112667e-05,4.205357606732872e-05
164,ACOT4,4.574388709188829e-05,5.186472333878872e-05,4.1889173701125096e-05,3.469891478201114e-05
165,ACOT6,4.739574968131758e-05,3.274914149422994e-05,2.5837948074547275e-05,2.9135773553373488e-05
166,ACOT7,5.781519063002547e-05,4.26922939768427e-05,3.5458626209979994e-05,4.205357606732872e-05
167,ACOT8,7.191955581669104e-05,8.36621570452263e-05,7.926149728178873e-05,9.438481982824226e-05
168,ACOT9,6.23895793392143e-05,7.54862515393047e-05,7.793790034439323e-05,6.364610727678674e-05
169,ACOX1,6.18813139270822e-05,4.2221485322056815e-05,5.099312866404088e-05,4.94082373526463e-05
170,ACOX2,6.683690169537011e-05,6.2918361716509e-05,6.229485304446861e-05,5.233124376091354e-05
171,ACOX3,4.180483014786457e-05,3.452252385994517e-05,5.181300453016422e-05,5.600857440357233e-05
172,ACOXL,4.460028991459108e-05,4.027128157876747e-05,3.617989444827363e-05,4.7993879413162144e-05
173,ACP1,5.527386356936502e-05,5.235262399097975e-05,6.686512684456204e-05,5.808296604814908e-05
174,ACP2,6.467677369380872e-05,6.036808573622691e-05,4.2897314219461614e-05,4.177070447943189e-05
175,ACP5,4.688748426918549e-05,3.13453865951308e-05,5.4754820810961935e-05,5.3085567995305084e-05
176,ACP6,6.18813139270822e-05,6.782539247420158e-05,5.2810329242173866e-05,5.006827105773889e-05
177,ACP7,5.235133744960549e-05,4.6372000433831935e-05,5.6254134283850905e-05,4.799387941316215e-05
178,ACPP,6.010238498461988e-05,4.4559880571637435e-05,7.81899177013657e-05,8.44843142518532e-05
179,ACPT,3.7611640497774816e-05,3.193364001192233e-05,4.0357395301142467e-05,4.601377829788433e-05
180,ACR,4.3202560031227824e-05,4.133394439163433e-05,3.6624215774168166e-05,4.195928553802978e-05
